sku,season,season_universe,season_tagline,kategori,nama_blend,narrative_context,komposisi_biji,dominant_roast,deskripsi,texture,resep_gramasi,rekomendasi_penyajian
S-SUM-029,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Banda Convoy,The Open Horizon · Seasonal collection,Semeru Medium Honey 50% | Papua Wamena Medium WetHulled 25% | Java Puntang Dark Washed 25%,Medium,"Seperti angin laut yang pertama kali menyentuh dek, blend ini mempertemukan biji-biji dari Semeru serta Papua Wamena serta Java Puntang dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Honey dan WetHulled, menghadirkan nuansa maple syrup, earthy, macadamia yang bersih namun penuh kedalaman. Blend yang merayakan keberanian membuka cakrawala baru, satu tegukan sekaligus.",Medium Body,Semeru (Medium / Honey): 500g (50%) | Papua Wamena (Medium / WetHulled): 250g (25%) | Java Puntang (Dark / Washed): 250g (25%) | total: 1000g,Cocok untuk French Press & Espresso
S-SUM-030,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Flores Passage,The Open Horizon · Seasonal collection,Java Ciwidey Dark Washed 40% | Flores Bajawa Medium WetHulled 60%,Medium,"Terinspirasi dari rute dagang yang telah melintasi generasi, blend ini mempertemukan biji-biji dari Java Ciwidey serta Flores Bajawa dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Washed dan WetHulled, menghadirkan nuansa leather, tobacco, smoky caramel yang bersih namun penuh kedalaman. Sebuah persembahan kepada rute-rute yang telah menghubungkan Nusantara selama berabad-abad.",Round,Java Ciwidey (Dark / Washed): 400g (40%) | Flores Bajawa (Medium / WetHulled): 600g (60%) | total: 1000g,Versatile for Espresso & Filter
S-SUM-031,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Bali Manifest,The Open Horizon · Seasonal collection,Solok Radjo Medium Natural 50% | Lampung Robusta Premium Light Anaerobic 50%,Light,"Seperti angin laut yang pertama kali menyentuh dek, blend ini mempertemukan biji-biji dari Solok Radjo serta Lampung Robusta Premium dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Natural dan Anaerobic, menghadirkan nuansa rum raisin, berry jam, molasses yang bersih namun penuh kedalaman. Diciptakan dari spirit jalur dagang yang mengalirkan kekayaan rasa lintas samudera.",Silky,Solok Radjo (Medium / Natural): 500g (50%) | Lampung Robusta Premium (Light / Anaerobic): 500g (50%) | total: 1000g,Pour Over Recommended
S-SUM-032,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Sorong Bearing,The Open Horizon · Seasonal collection,Java Temanggung Light Wine 60% | Papua Dogiyai Dark Washed 25% | Bukit Barisan Light SemiWashed 15%,Light,"Dari pelabuhan tua yang menyimpan ribuan cerita, blend ini mempertemukan biji-biji dari Java Temanggung serta Papua Dogiyai serta Bukit Barisan dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Wine dan Washed, menghadirkan nuansa mandarin, wine, grape must yang bersih namun penuh kedalaman. Diciptakan dari spirit jalur dagang yang mengalirkan kekayaan rasa lintas samudera.",Delicate,Java Temanggung (Light / Wine): 600g (60%) | Papua Dogiyai (Dark / Washed): 250g (25%) | Bukit Barisan (Light / SemiWashed): 150g (15%) | total: 1000g,Pour Over Recommended
S-SUM-033,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Riau Portside,The Open Horizon · Seasonal collection,Toraja Kalosi Light Honey 50% | Temanggung Medium Natural 25% | Dampit Malang Medium WetHulled 25%,Light,"Di mana muara sungai berjumpa dengan lautan terbuka, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Temanggung serta Dampit Malang dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Honey dan Natural, menghadirkan nuansa molasses, honeysuckle, floral yang bersih namun penuh kedalaman. Sebuah persembahan kepada rute-rute yang telah menghubungkan Nusantara selama berabad-abad.",Tea-like,Toraja Kalosi (Light / Honey): 500g (50%) | Temanggung (Medium / Natural): 250g (25%) | Dampit Malang (Medium / WetHulled): 250g (25%) | total: 1000g,Cocok untuk AeroPress
S-SUM-034,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Padang Wake,The Open Horizon · Seasonal collection,Toraja Sapan Medium SemiWashed 45% | Toraja Sapan Dark Washed 35% | Lampung Robusta Premium Light Natural 20%,Medium,"Di mana muara sungai berjumpa dengan lautan terbuka, blend ini mempertemukan biji-biji dari Toraja Sapan serta Toraja Sapan serta Lampung Robusta Premium dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode SemiWashed dan Washed, menghadirkan nuansa smoky caramel, watermelon, blueberry yang bersih namun penuh kedalaman. Sebuah persembahan kepada rute-rute yang telah menghubungkan Nusantara selama berabad-abad.",Smooth,Toraja Sapan (Medium / SemiWashed): 450g (45%) | Toraja Sapan (Dark / Washed): 350g (35%) | Lampung Robusta Premium (Light / Natural): 200g (20%) | total: 1000g,Best for Moka Pot
S-SUM-035,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Lombok Wake,The Open Horizon · Seasonal collection,Gunung Halu Medium WetHulled 60% | Dampit Malang Medium Washed 40%,Medium,"Terinspirasi dari rute dagang yang telah melintasi generasi, blend ini mempertemukan biji-biji dari Gunung Halu serta Dampit Malang dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode WetHulled dan Washed, menghadirkan nuansa tobacco, almond, earthy yang bersih namun penuh kedalaman. Sebuah persembahan kepada rute-rute yang telah menghubungkan Nusantara selama berabad-abad.",Medium Body,Gunung Halu (Medium / WetHulled): 600g (60%) | Dampit Malang (Medium / Washed): 400g (40%) | total: 1000g,Best for Moka Pot
S-SUM-036,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Sulawesi Expedition,The Open Horizon · Seasonal collection,Papua Wamena Dark Natural 50% | Solok Radjo Medium Anaerobic 30% | Solok Radjo Medium Wine 20%,Dark,"Seperti kapal yang menemukan teluknya setelah berbulan berlayar, blend ini mempertemukan biji-biji dari Papua Wamena serta Solok Radjo serta Solok Radjo dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Natural dan Anaerobic, menghadirkan nuansa licorice, espresso, roasted grape yang bersih namun penuh kedalaman. Sebuah persembahan kepada rute-rute yang telah menghubungkan Nusantara selama berabad-abad.",Syrupy,Papua Wamena (Dark / Natural): 500g (50%) | Solok Radjo (Medium / Anaerobic): 300g (30%) | Solok Radjo (Medium / Wine): 200g (20%) | total: 1000g,Best for Espresso
S-SUM-037,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Tidore Transit,The Open Horizon · Seasonal collection,Aceh Gayo Dark Washed 50% | Java Ijen Raung Dark Wine 25% | Kerinci Kayu Aro Light Natural 25%,Dark,"Dari pelabuhan tua yang menyimpan ribuan cerita, blend ini mempertemukan biji-biji dari Aceh Gayo serta Java Ijen Raung serta Kerinci Kayu Aro dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Washed dan Wine, menghadirkan nuansa smoked plum, tobacco, strawberry yang bersih namun penuh kedalaman. Sebuah persembahan kepada rute-rute yang telah menghubungkan Nusantara selama berabad-abad.",Thick,Aceh Gayo (Dark / Washed): 500g (50%) | Java Ijen Raung (Dark / Wine): 250g (25%) | Kerinci Kayu Aro (Light / Natural): 250g (25%) | total: 1000g,Ideal untuk Ristretto
S-SUM-038,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Pontianak Convoy,The Open Horizon · Seasonal collection,Temanggung Light Washed 55% | Bali Ulian Medium Washed 30% | Toraja Sapan Dark Anaerobic 15%,Light,"Dari pelabuhan tua yang menyimpan ribuan cerita, blend ini mempertemukan biji-biji dari Temanggung serta Bali Ulian serta Toraja Sapan dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Washed dan Anaerobic, menghadirkan nuansa hazelnut, bergamot, green tea yang bersih namun penuh kedalaman. Diciptakan dari spirit jalur dagang yang mengalirkan kekayaan rasa lintas samudera.",Light Body,Temanggung (Light / Washed): 550g (55%) | Bali Ulian (Medium / Washed): 300g (30%) | Toraja Sapan (Dark / Anaerobic): 150g (15%) | total: 1000g,Ideal for Chemex
S-SUM-039,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Sorong Starboard,The Open Horizon · Seasonal collection,Bali Ulian Medium Washed 55% | Toraja Sapan Light Wine 30% | Bali Kintamani Dark Washed 15%,Medium,"Ketika layar dibentangkan dan cakrawala terbuka lebar, blend ini mempertemukan biji-biji dari Bali Ulian serta Toraja Sapan serta Bali Kintamani dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Washed dan Wine, menghadirkan nuansa molasses, bitter chocolate, smoky caramel yang bersih namun penuh kedalaman. Untuk para pelaut dalam diri kita — yang selalu menemukan jalan pulang.",Smooth,Bali Ulian (Medium / Washed): 550g (55%) | Toraja Sapan (Light / Wine): 300g (30%) | Bali Kintamani (Dark / Washed): 150g (15%) | total: 1000g,Versatile for Espresso & Filter
S-SUM-040,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Bali Passage,The Open Horizon · Seasonal collection,Sidikalang Light Washed 40% | Toraja Sapan Medium Wine 35% | Bengkulu Light Washed 25%,Light,"Di mana muara sungai berjumpa dengan lautan terbuka, blend ini mempertemukan biji-biji dari Sidikalang serta Toraja Sapan serta Bengkulu dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Washed dan Wine, menghadirkan nuansa roasted grape, jasmine, citrus yang bersih namun penuh kedalaman. Blend yang merayakan keberanian membuka cakrawala baru, satu tegukan sekaligus.",Clean,Sidikalang (Light / Washed): 400g (40%) | Toraja Sapan (Medium / Wine): 350g (35%) | Bengkulu (Light / Washed): 250g (25%) | total: 1000g,Pour Over Recommended
S-SUM-041,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Timor Current,The Open Horizon · Seasonal collection,Lintong Onan Light Anaerobic 60% | Java Garut Medium Natural 40%,Light,"Seperti angin laut yang pertama kali menyentuh dek, blend ini mempertemukan biji-biji dari Lintong Onan serta Java Garut dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Anaerobic dan Natural, menghadirkan nuansa molasses, raspberry, prune yang bersih namun penuh kedalaman. Untuk para pelaut dalam diri kita — yang selalu menemukan jalan pulang.",Silky,Lintong Onan (Light / Anaerobic): 600g (60%) | Java Garut (Medium / Natural): 400g (40%) | total: 1000g,Best for V60
S-SUM-042,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Balikpapan Current,The Open Horizon · Seasonal collection,Java Garut Dark Anaerobic 50% | Lampung Robusta Premium Dark Washed 30% | Wanoja Kamojang Light SemiWashed 20%,Dark,"Dari pelabuhan tua yang menyimpan ribuan cerita, blend ini mempertemukan biji-biji dari Java Garut serta Lampung Robusta Premium serta Wanoja Kamojang dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Anaerobic dan Washed, menghadirkan nuansa papaya, oolong tea, fermented cocoa yang bersih namun penuh kedalaman. Diciptakan dari spirit jalur dagang yang mengalirkan kekayaan rasa lintas samudera.",Heavy Body,Java Garut (Dark / Anaerobic): 500g (50%) | Lampung Robusta Premium (Dark / Washed): 300g (30%) | Wanoja Kamojang (Light / SemiWashed): 200g (20%) | total: 1000g,Cocok untuk Cold Brew
S-SUM-043,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Ambon Reach,The Open Horizon · Seasonal collection,Mandheling Light Natural 50% | Flores Manggarai Dark Natural 30% | Papua Wamena Dark Natural 20%,Medium,"Di mana muara sungai berjumpa dengan lautan terbuka, blend ini mempertemukan biji-biji dari Mandheling serta Flores Manggarai serta Papua Wamena dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Natural, menghadirkan nuansa charcoal, tar, hibiscus yang bersih namun penuh kedalaman. Diciptakan dari spirit jalur dagang yang mengalirkan kekayaan rasa lintas samudera.",Round,Mandheling (Light / Natural): 500g (50%) | Flores Manggarai (Dark / Natural): 300g (30%) | Papua Wamena (Dark / Natural): 200g (20%) | total: 1000g,Best for Moka Pot
S-SUM-044,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Lombok Voyage,The Open Horizon · Seasonal collection,Bengkulu Light Wine 50% | Semeru Light SemiWashed 25% | Solok Radjo Dark Honey 25%,Light,"Seperti angin laut yang pertama kali menyentuh dek, blend ini mempertemukan biji-biji dari Bengkulu serta Semeru serta Solok Radjo dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Wine dan SemiWashed, menghadirkan nuansa wine, oolong tea, toffee yang bersih namun penuh kedalaman. Blend yang merayakan keberanian membuka cakrawala baru, satu tegukan sekaligus.",Light Body,Bengkulu (Light / Wine): 500g (50%) | Semeru (Light / SemiWashed): 250g (25%) | Solok Radjo (Dark / Honey): 250g (25%) | total: 1000g,Best for V60
S-SUM-045,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Banten Voyage,The Open Horizon · Seasonal collection,Toraja Kalosi Medium Honey 45% | Sembalun Rinjani Light Washed 35% | Toraja Sapan Light WetHulled 20%,Light,"Di mana muara sungai berjumpa dengan lautan terbuka, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Sembalun Rinjani serta Toraja Sapan dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Honey dan Washed, menghadirkan nuansa tobacco leaf, green pepper, cedar yang bersih namun penuh kedalaman. Diciptakan dari spirit jalur dagang yang mengalirkan kekayaan rasa lintas samudera.",Light Body,Toraja Kalosi (Medium / Honey): 450g (45%) | Sembalun Rinjani (Light / Washed): 350g (35%) | Toraja Sapan (Light / WetHulled): 200g (20%) | total: 1000g,Cocok untuk AeroPress
S-SUM-046,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Ambon Bearing,The Open Horizon · Seasonal collection,Java Ijen Raung Medium WetHulled 40% | Sembalun Rinjani Medium Washed 60%,Medium,"Seperti kapal yang menemukan teluknya setelah berbulan berlayar, blend ini mempertemukan biji-biji dari Java Ijen Raung serta Sembalun Rinjani dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode WetHulled dan Washed, menghadirkan nuansa tobacco, leather, almond yang bersih namun penuh kedalaman. Diciptakan dari spirit jalur dagang yang mengalirkan kekayaan rasa lintas samudera.",Velvety,Java Ijen Raung (Medium / WetHulled): 400g (40%) | Sembalun Rinjani (Medium / Washed): 600g (60%) | total: 1000g,Best for Moka Pot
S-SUM-047,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Celebes Berth,The Open Horizon · Seasonal collection,Toraja Sapan Medium SemiWashed 40% | Sidikalang Light WetHulled 35% | Kerinci Kayu Aro Dark Anaerobic 25%,Medium,"Dari pelabuhan tua yang menyimpan ribuan cerita, blend ini mempertemukan biji-biji dari Toraja Sapan serta Sidikalang serta Kerinci Kayu Aro dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode SemiWashed dan WetHulled, menghadirkan nuansa tobacco leaf, apricot jam, lime yang bersih namun penuh kedalaman. Blend yang merayakan keberanian membuka cakrawala baru, satu tegukan sekaligus.",Medium Body,Toraja Sapan (Medium / SemiWashed): 400g (40%) | Sidikalang (Light / WetHulled): 350g (35%) | Kerinci Kayu Aro (Dark / Anaerobic): 250g (25%) | total: 1000g,Cocok untuk French Press & Espresso
S-SUM-048,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Lombok Manifest,The Open Horizon · Seasonal collection,Java Preanger Light Honey 45% | Java Ijen Raung Dark Natural 35% | Bukit Barisan Medium Washed 20%,Medium,"Ketika layar dibentangkan dan cakrawala terbuka lebar, blend ini mempertemukan biji-biji dari Java Preanger serta Java Ijen Raung serta Bukit Barisan dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Honey dan Natural, menghadirkan nuansa espresso, licorice, tar yang bersih namun penuh kedalaman. Sebuah persembahan kepada rute-rute yang telah menghubungkan Nusantara selama berabad-abad.",Balanced,Java Preanger (Light / Honey): 450g (45%) | Java Ijen Raung (Dark / Natural): 350g (35%) | Bukit Barisan (Medium / Washed): 200g (20%) | total: 1000g,Best for Moka Pot
S-SUM-049,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Riau Manifest,The Open Horizon · Seasonal collection,Solok Radjo Dark Natural 50% | Flores Manggarai Light Washed 25% | Bali Kintamani Dark Honey 25%,Dark,"Ketika layar dibentangkan dan cakrawala terbuka lebar, blend ini mempertemukan biji-biji dari Solok Radjo serta Flores Manggarai serta Bali Kintamani dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Natural dan Washed, menghadirkan nuansa espresso, bergamot, dark sugar yang bersih namun penuh kedalaman. Sebuah persembahan kepada rute-rute yang telah menghubungkan Nusantara selama berabad-abad.",Bold,Solok Radjo (Dark / Natural): 500g (50%) | Flores Manggarai (Light / Washed): 250g (25%) | Bali Kintamani (Dark / Honey): 250g (25%) | total: 1000g,Best for Batch Brew
S-SUM-050,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Malacca Manifest,The Open Horizon · Seasonal collection,Kerinci Kayu Aro Medium Wine 40% | Bali Kintamani Light SemiWashed 60%,Light,"Seperti angin laut yang pertama kali menyentuh dek, blend ini mempertemukan biji-biji dari Kerinci Kayu Aro serta Bali Kintamani dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Wine dan SemiWashed, menghadirkan nuansa balsamic, oolong tea, dark plum yang bersih namun penuh kedalaman. Diciptakan dari spirit jalur dagang yang mengalirkan kekayaan rasa lintas samudera.",Silky,Kerinci Kayu Aro (Medium / Wine): 400g (40%) | Bali Kintamani (Light / SemiWashed): 600g (60%) | total: 1000g,Ideal for Chemex
S-SUM-051,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Celebes Meridian,The Open Horizon · Seasonal collection,Kerinci Kayu Aro Medium Anaerobic 50% | Bukit Barisan Medium Wine 50%,Medium,"Seperti kapal yang menemukan teluknya setelah berbulan berlayar, blend ini mempertemukan biji-biji dari Kerinci Kayu Aro serta Bukit Barisan dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Anaerobic dan Wine, menghadirkan nuansa tropical punch, balsamic, port wine yang bersih namun penuh kedalaman. Sebuah persembahan kepada rute-rute yang telah menghubungkan Nusantara selama berabad-abad.",Medium Body,Kerinci Kayu Aro (Medium / Anaerobic): 500g (50%) | Bukit Barisan (Medium / Wine): 500g (50%) | total: 1000g,Versatile for Espresso & Filter
S-SUM-052,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Sunda Fleet,The Open Horizon · Seasonal collection,Papua Wamena Light Natural 60% | Temanggung Medium Washed 25% | Java Garut Light WetHulled 15%,Light,"Seperti angin laut yang pertama kali menyentuh dek, blend ini mempertemukan biji-biji dari Papua Wamena serta Temanggung serta Java Garut dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Natural dan Washed, menghadirkan nuansa milk chocolate, brown sugar, blueberry yang bersih namun penuh kedalaman. Blend yang merayakan keberanian membuka cakrawala baru, satu tegukan sekaligus.",Light Body,Papua Wamena (Light / Natural): 600g (60%) | Temanggung (Medium / Washed): 250g (25%) | Java Garut (Light / WetHulled): 150g (15%) | total: 1000g,Best for V60
S-SUM-053,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Makassar Berth,The Open Horizon · Seasonal collection,Mandheling Medium Honey 65% | Java Manglayang Light WetHulled 35%,Light,"Seperti angin laut yang pertama kali menyentuh dek, blend ini mempertemukan biji-biji dari Mandheling serta Java Manglayang dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Honey dan WetHulled, menghadirkan nuansa lime, maple syrup, macadamia yang bersih namun penuh kedalaman. Blend yang merayakan keberanian membuka cakrawala baru, satu tegukan sekaligus.",Delicate,Mandheling (Medium / Honey): 650g (65%) | Java Manglayang (Light / WetHulled): 350g (35%) | total: 1000g,Cocok untuk AeroPress
S-SUM-054,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Ambon Meridian,The Open Horizon · Seasonal collection,Dampit Malang Dark SemiWashed 60% | Dampit Malang Light Wine 25% | Papua Dogiyai Light Natural 15%,Medium,"Terinspirasi dari rute dagang yang telah melintasi generasi, blend ini mempertemukan biji-biji dari Dampit Malang serta Dampit Malang serta Papua Dogiyai dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode SemiWashed dan Wine, menghadirkan nuansa dark caramel, grape must, roasted grain yang bersih namun penuh kedalaman. Blend yang merayakan keberanian membuka cakrawala baru, satu tegukan sekaligus.",Balanced,Dampit Malang (Dark / SemiWashed): 600g (60%) | Dampit Malang (Light / Wine): 250g (25%) | Papua Dogiyai (Light / Natural): 150g (15%) | total: 1000g,Versatile for Espresso & Filter
S-SUM-055,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Aceh Drift,The Open Horizon · Seasonal collection,Java Sindoro Dark Wine 60% | Java Garut Medium Wine 40%,Dark,"Terinspirasi dari rute dagang yang telah melintasi generasi, blend ini mempertemukan biji-biji dari Java Sindoro serta Java Garut dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Wine, menghadirkan nuansa balsamic, port wine, roasted grape yang bersih namun penuh kedalaman. Blend yang merayakan keberanian membuka cakrawala baru, satu tegukan sekaligus.",Syrupy,Java Sindoro (Dark / Wine): 600g (60%) | Java Garut (Medium / Wine): 400g (40%) | total: 1000g,Best for Batch Brew
S-SUM-056,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Manado Run,The Open Horizon · Seasonal collection,Java Ijen Raung Medium Anaerobic 45% | Papua Wamena Light WetHulled 55%,Light,"Ketika layar dibentangkan dan cakrawala terbuka lebar, blend ini mempertemukan biji-biji dari Java Ijen Raung serta Papua Wamena dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Anaerobic dan WetHulled, menghadirkan nuansa green pepper, cedar, herb yang bersih namun penuh kedalaman. Sebuah persembahan kepada rute-rute yang telah menghubungkan Nusantara selama berabad-abad.",Tea-like,Java Ijen Raung (Medium / Anaerobic): 450g (45%) | Papua Wamena (Light / WetHulled): 550g (55%) | total: 1000g,Pour Over Recommended
S-SUM-057,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Demak Berth,The Open Horizon · Seasonal collection,Java Garut Dark Washed 50% | Dampit Malang Light Honey 50%,Medium,"Terinspirasi dari rute dagang yang telah melintasi generasi, blend ini mempertemukan biji-biji dari Java Garut serta Dampit Malang dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Washed dan Honey, menghadirkan nuansa white grape, apricot, honeysuckle yang bersih namun penuh kedalaman. Diciptakan dari spirit jalur dagang yang mengalirkan kekayaan rasa lintas samudera.",Round,Java Garut (Dark / Washed): 500g (50%) | Dampit Malang (Light / Honey): 500g (50%) | total: 1000g,Best for Moka Pot
S-SUM-058,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Demak Portside,The Open Horizon · Seasonal collection,Sidikalang Dark Wine 60% | Toraja Sapan Dark Anaerobic 25% | Papua Wamena Medium Honey 15%,Dark,"Dari pelabuhan tua yang menyimpan ribuan cerita, blend ini mempertemukan biji-biji dari Sidikalang serta Toraja Sapan serta Papua Wamena dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Wine dan Anaerobic, menghadirkan nuansa tobacco, smoke, maple syrup yang bersih namun penuh kedalaman. Diciptakan dari spirit jalur dagang yang mengalirkan kekayaan rasa lintas samudera.",Full Body,Sidikalang (Dark / Wine): 600g (60%) | Toraja Sapan (Dark / Anaerobic): 250g (25%) | Papua Wamena (Medium / Honey): 150g (15%) | total: 1000g,Best for Batch Brew
S-SUM-059,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Jambi Voyage,The Open Horizon · Seasonal collection,Java Sindoro Light Natural 50% | Toraja Sapan Dark Natural 30% | Arjuno Dark Anaerobic 20%,Medium,"Terinspirasi dari rute dagang yang telah melintasi generasi, blend ini mempertemukan biji-biji dari Java Sindoro serta Toraja Sapan serta Arjuno dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Natural dan Anaerobic, menghadirkan nuansa hibiscus, strawberry, smoke yang bersih namun penuh kedalaman. Blend yang merayakan keberanian membuka cakrawala baru, satu tegukan sekaligus.",Smooth,Java Sindoro (Light / Natural): 500g (50%) | Toraja Sapan (Dark / Natural): 300g (30%) | Arjuno (Dark / Anaerobic): 200g (20%) | total: 1000g,Cocok untuk French Press & Espresso
S-SUM-060,Summer,The Open Horizon,Ketika laut dan langit melebur — dan setiap tegukan terasa seperti angin pertama.,Seasonal Blend,Riau Heading,The Open Horizon · Seasonal collection,Sidikalang Light SemiWashed 55% | Lintong Onan Light Natural 45%,Light,"Terinspirasi dari rute dagang yang telah melintasi generasi, blend ini mempertemukan biji-biji dari Sidikalang serta Lintong Onan dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode SemiWashed dan Natural, menghadirkan nuansa light caramel, blueberry, mandarin yang bersih namun penuh kedalaman. Untuk para pelaut dalam diri kita — yang selalu menemukan jalan pulang.",Silky,Sidikalang (Light / SemiWashed): 550g (55%) | Lintong Onan (Light / Natural): 450g (45%) | total: 1000g,Cocok untuk AeroPress
