sku,season,kategori,nama_blend,komposisi_biji,dominant_roast,deskripsi,texture,resep_gramasi,rekomendasi_penyajian
S-SUM-052,Summer,Seasonal Blend,Timeless Summer Select,Semeru Medium Natural 70% | Flores Bajawa Light Washed 30%,Medium,"Ringan namun penuh kepribadian, blend fruity ini memadukan biji-biji terbaik dari Semeru dan Flores Bajawa. Diproses dengan metode Washed & Natural, menghadirkan profil rasa dried fig, green tea, prune yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Medium Body,Semeru (Medium / Natural): 700g (70%) | Flores Bajawa (Light / Washed): 300g (30%) | total: 1000g,Best for Moka Pot
S-SUM-053,Summer,Seasonal Blend,Ember Summer Select,Mandheling Medium Anaerobic 55% | Java Garut Medium SemiWashed 30% | Flores Bajawa Light Natural 15%,Medium,"Ringan namun penuh kepribadian, blend tropical ini memadukan biji-biji terbaik dari Mandheling dan Java Garut dan Flores Bajawa. Diproses dengan metode SemiWashed & Natural, menghadirkan profil rasa tropical fruit, cacao nib, tamarind yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Balanced,Mandheling (Medium / Anaerobic): 550g (55%) | Java Garut (Medium / SemiWashed): 300g (30%) | Flores Bajawa (Light / Natural): 150g (15%) | total: 1000g,Cocok untuk French Press & Espresso
S-SUM-054,Summer,Seasonal Blend,Bronze Summer Edition,Toraja Kalosi Medium Washed 50% | Bengkulu Light Wine 50%,Light,"Segar dan penuh semangat, blend refreshing ini memadukan biji-biji terbaik dari Toraja Kalosi dan Bengkulu. Diproses dengan metode Washed & Wine, menghadirkan profil rasa milk chocolate, hazelnut, dark cherry yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Silky,Toraja Kalosi (Medium / Washed): 500g (50%) | Bengkulu (Light / Wine): 500g (50%) | total: 1000g,Best for V60
S-SUM-055,Summer,Seasonal Blend,Twilight Summer Fusion,Papua Dogiyai Light Natural 40% | Java Ciwidey Light Washed 60%,Light,"Cerah seperti pagi musim panas, blend lively ini memadukan biji-biji terbaik dari Papua Dogiyai dan Java Ciwidey. Diproses dengan metode Washed & Natural, menghadirkan profil rasa bergamot, strawberry, peach yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Delicate,Papua Dogiyai (Light / Natural): 400g (40%) | Java Ciwidey (Light / Washed): 600g (60%) | total: 1000g,Ideal for Chemex
S-SUM-056,Summer,Seasonal Blend,Sunrise Summer Journey,Kerinci Kayu Aro Medium SemiWashed 40% | Papua Dogiyai Light Honey 35% | Sidikalang Medium WetHulled 25%,Light,"Ringan namun penuh kepribadian, blend tropical ini memadukan biji-biji terbaik dari Kerinci Kayu Aro dan Papua Dogiyai dan Sidikalang. Diproses dengan metode SemiWashed & Honey, menghadirkan profil rasa white grape, spice, floral yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Delicate,Kerinci Kayu Aro (Medium / SemiWashed): 400g (40%) | Papua Dogiyai (Light / Honey): 350g (35%) | Sidikalang (Medium / WetHulled): 250g (25%) | total: 1000g,Ideal for Chemex
S-SUM-057,Summer,Seasonal Blend,Nusantara Summer Estate,Flores Manggarai Medium SemiWashed 45% | Papua Wamena Dark Anaerobic 35% | Bali Kintamani Light Wine 20%,Medium,"Ringan namun penuh kepribadian, blend lively ini memadukan biji-biji terbaik dari Flores Manggarai dan Papua Wamena dan Bali Kintamani. Diproses dengan metode SemiWashed & Wine, menghadirkan profil rasa wine, grape must, black cherry yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Round,Flores Manggarai (Medium / SemiWashed): 450g (45%) | Papua Wamena (Dark / Anaerobic): 350g (35%) | Bali Kintamani (Light / Wine): 200g (20%) | total: 1000g,Best for Moka Pot
S-SUM-058,Summer,Seasonal Blend,Sacred Summer Collection,Gunung Halu Dark Wine 45% | Lintong Onan Medium Anaerobic 55%,Medium,"Karakter buah tropis yang menawan, blend tropical ini memadukan biji-biji terbaik dari Gunung Halu dan Lintong Onan. Diproses dengan metode Wine & Anaerobic, menghadirkan profil rasa dark espresso, tobacco, cacao nib yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Round,Gunung Halu (Dark / Wine): 450g (45%) | Lintong Onan (Medium / Anaerobic): 550g (55%) | total: 1000g,Versatile for Espresso & Filter
S-SUM-059,Summer,Seasonal Blend,Nusantara Summer Chapter,Toraja Kalosi Light Honey 45% | Java Sindoro Medium Washed 35% | Dampit Malang Light Anaerobic 20%,Light,"Cerah seperti pagi musim panas, blend tropical ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java Sindoro dan Dampit Malang. Diproses dengan metode Washed & Honey, menghadirkan profil rasa raspberry, honeysuckle, floral yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Clean,Toraja Kalosi (Light / Honey): 450g (45%) | Java Sindoro (Medium / Washed): 350g (35%) | Dampit Malang (Light / Anaerobic): 200g (20%) | total: 1000g,Best for V60
S-SUM-060,Summer,Seasonal Blend,Mystic Summer Signature,Sembalun Rinjani Light WetHulled 40% | Sembalun Rinjani Light Wine 35% | Java Temanggung Medium Natural 25%,Light,"Cerah seperti pagi musim panas, blend lively ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Sembalun Rinjani dan Java Temanggung. Diproses dengan metode Wine & WetHulled, menghadirkan profil rasa dark chocolate, lime, herb yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Clean,Sembalun Rinjani (Light / WetHulled): 400g (40%) | Sembalun Rinjani (Light / Wine): 350g (35%) | Java Temanggung (Medium / Natural): 250g (25%) | total: 1000g,Pour Over Recommended
S-SUM-061,Summer,Seasonal Blend,Mystic Summer Edition,Java Manglayang Dark Washed 70% | Semeru Medium WetHulled 30%,Dark,"Ringan namun penuh kepribadian, blend vibrant ini memadukan biji-biji terbaik dari Java Manglayang dan Semeru. Diproses dengan metode Washed & WetHulled, menghadirkan profil rasa smoky caramel, mushroom, tobacco yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Thick,Java Manglayang (Dark / Washed): 700g (70%) | Semeru (Medium / WetHulled): 300g (30%) | total: 1000g,Ideal untuk Ristretto
S-SUM-062,Summer,Seasonal Blend,Primal Summer Select,Bengkulu Light Honey 50% | Java Preanger Light SemiWashed 25% | Toraja Kalosi Dark WetHulled 25%,Light,"Ringan namun penuh kepribadian, blend lively ini memadukan biji-biji terbaik dari Bengkulu dan Java Preanger dan Toraja Kalosi. Diproses dengan metode SemiWashed & Honey, menghadirkan profil rasa oolong tea, white grape, mandarin yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Tea-like,Bengkulu (Light / Honey): 500g (50%) | Java Preanger (Light / SemiWashed): 250g (25%) | Toraja Kalosi (Dark / WetHulled): 250g (25%) | total: 1000g,Pour Over Recommended
S-SUM-063,Summer,Seasonal Blend,Timeless Summer Valley,Gunung Halu Light Honey 50% | Solok Radjo Light Anaerobic 30% | Flores Bajawa Dark SemiWashed 20%,Light,"Segar dan penuh semangat, blend refreshing ini memadukan biji-biji terbaik dari Gunung Halu dan Solok Radjo dan Flores Bajawa. Diproses dengan metode SemiWashed & Honey, menghadirkan profil rasa roasted grain, honeysuckle, rum raisin yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Silky,Gunung Halu (Light / Honey): 500g (50%) | Solok Radjo (Light / Anaerobic): 300g (30%) | Flores Bajawa (Dark / SemiWashed): 200g (20%) | total: 1000g,Pour Over Recommended
S-SUM-064,Summer,Seasonal Blend,Serenity Summer Story,Java Ijen Raung Light Natural 50% | Semeru Dark SemiWashed 25% | Solok Radjo Light Washed 25%,Light,"Cerah seperti pagi musim panas, blend lively ini memadukan biji-biji terbaik dari Java Ijen Raung dan Semeru dan Solok Radjo. Diproses dengan metode SemiWashed & Washed, menghadirkan profil rasa strawberry, lemon zest, watermelon yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Silky,Java Ijen Raung (Light / Natural): 500g (50%) | Semeru (Dark / SemiWashed): 250g (25%) | Solok Radjo (Light / Washed): 250g (25%) | total: 1000g,Cocok untuk AeroPress
S-SUM-065,Summer,Seasonal Blend,Equator Summer Legacy,Java Ciwidey Light SemiWashed 60% | Java Temanggung Light SemiWashed 40%,Light,"Ringan namun penuh kepribadian, blend lively ini memadukan biji-biji terbaik dari Java Ciwidey dan Java Temanggung. Diproses dengan metode SemiWashed, menghadirkan profil rasa oolong tea, papaya, light caramel yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Tea-like,Java Ciwidey (Light / SemiWashed): 600g (60%) | Java Temanggung (Light / SemiWashed): 400g (40%) | total: 1000g,Ideal for Chemex
S-SUM-066,Summer,Seasonal Blend,Twilight Summer Spring,Java Manglayang Dark Wine 45% | Arjuno Dark Natural 35% | Sembalun Rinjani Light Anaerobic 20%,Dark,"Karakter buah tropis yang menawan, blend refreshing ini memadukan biji-biji terbaik dari Java Manglayang dan Arjuno dan Sembalun Rinjani. Diproses dengan metode Wine & Natural, menghadirkan profil rasa smoked plum, raspberry, passion fruit yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Heavy Body,Java Manglayang (Dark / Wine): 450g (45%) | Arjuno (Dark / Natural): 350g (35%) | Sembalun Rinjani (Light / Anaerobic): 200g (20%) | total: 1000g,Ideal untuk Ristretto
S-SUM-067,Summer,Seasonal Blend,Summit Summer Legacy,Java Puntang Dark Wine 60% | Solok Radjo Dark WetHulled 40%,Dark,"Ringan namun penuh kepribadian, blend lively ini memadukan biji-biji terbaik dari Java Puntang dan Solok Radjo. Diproses dengan metode Wine & WetHulled, menghadirkan profil rasa peat, intense earth, clove yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Heavy Body,Java Puntang (Dark / Wine): 600g (60%) | Solok Radjo (Dark / WetHulled): 400g (40%) | total: 1000g,Cocok untuk Cold Brew
S-SUM-068,Summer,Seasonal Blend,Ancient Summer Edition,Lintong Onan Dark Washed 60% | Mandheling Light Wine 40%,Medium,"Ringan namun penuh kepribadian, blend tropical ini memadukan biji-biji terbaik dari Lintong Onan dan Mandheling. Diproses dengan metode Washed & Wine, menghadirkan profil rasa bitter chocolate, plum, blackcurrant yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Balanced,Lintong Onan (Dark / Washed): 600g (60%) | Mandheling (Light / Wine): 400g (40%) | total: 1000g,Versatile for Espresso & Filter
S-SUM-069,Summer,Seasonal Blend,Twilight Summer Estate,Java Puntang Dark Anaerobic 45% | Gunung Halu Medium Natural 35% | Flores Bajawa Dark WetHulled 20%,Dark,"Karakter buah tropis yang menawan, blend tropical ini memadukan biji-biji terbaik dari Java Puntang dan Gunung Halu dan Flores Bajawa. Diproses dengan metode WetHulled & Natural, menghadirkan profil rasa dark chocolate, molasses, clove yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Heavy Body,Java Puntang (Dark / Anaerobic): 450g (45%) | Gunung Halu (Medium / Natural): 350g (35%) | Flores Bajawa (Dark / WetHulled): 200g (20%) | total: 1000g,Cocok untuk Cold Brew
S-SUM-070,Summer,Seasonal Blend,Heritage Summer Fusion,Bali Ulian Dark Anaerobic 65% | Sembalun Rinjani Dark Honey 35%,Dark,"Karakter buah tropis yang menawan, blend vibrant ini memadukan biji-biji terbaik dari Bali Ulian dan Sembalun Rinjani. Diproses dengan metode Honey & Anaerobic, menghadirkan profil rasa smoked almond, toffee, dark rum yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Heavy Body,Bali Ulian (Dark / Anaerobic): 650g (65%) | Sembalun Rinjani (Dark / Honey): 350g (35%) | total: 1000g,Best for Espresso
S-SUM-071,Summer,Seasonal Blend,Nusantara Summer Spring,Flores Bajawa Dark Natural 50% | Kerinci Kayu Aro Medium WetHulled 30% | Dampit Malang Medium Natural 20%,Dark,"Ringan namun penuh kepribadian, blend bright ini memadukan biji-biji terbaik dari Flores Bajawa dan Kerinci Kayu Aro dan Dampit Malang. Diproses dengan metode WetHulled & Natural, menghadirkan profil rasa tar, woody, earthy yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Heavy Body,Flores Bajawa (Dark / Natural): 500g (50%) | Kerinci Kayu Aro (Medium / WetHulled): 300g (30%) | Dampit Malang (Medium / Natural): 200g (20%) | total: 1000g,Ideal untuk Ristretto
S-SUM-072,Summer,Seasonal Blend,Archipelago Summer Signature,Solok Radjo Light Washed 60% | Bali Ulian Dark Natural 25% | Toraja Kalosi Light SemiWashed 15%,Light,"Karakter buah tropis yang menawan, blend bright ini memadukan biji-biji terbaik dari Solok Radjo dan Bali Ulian dan Toraja Kalosi. Diproses dengan metode SemiWashed & Washed, menghadirkan profil rasa dark berry, green tea, light caramel yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Light Body,Solok Radjo (Light / Washed): 600g (60%) | Bali Ulian (Dark / Natural): 250g (25%) | Toraja Kalosi (Light / SemiWashed): 150g (15%) | total: 1000g,Pour Over Recommended
S-SUM-073,Summer,Seasonal Blend,Timeless Summer Crest,Semeru Medium Natural 50% | Mandheling Medium Honey 30% | Flores Bajawa Medium SemiWashed 20%,Medium,"Cerah seperti pagi musim panas, blend refreshing ini memadukan biji-biji terbaik dari Semeru dan Mandheling dan Flores Bajawa. Diproses dengan metode SemiWashed & Honey, menghadirkan profil rasa vanilla, prune, dark chocolate yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Medium Body,Semeru (Medium / Natural): 500g (50%) | Mandheling (Medium / Honey): 300g (30%) | Flores Bajawa (Medium / SemiWashed): 200g (20%) | total: 1000g,Versatile for Espresso & Filter
S-SUM-074,Summer,Seasonal Blend,Amber Summer Legacy,Dampit Malang Medium Anaerobic 45% | Toraja Sapan Medium WetHulled 55%,Medium,"Cerah seperti pagi musim panas, blend bright ini memadukan biji-biji terbaik dari Dampit Malang dan Toraja Sapan. Diproses dengan metode WetHulled & Anaerobic, menghadirkan profil rasa mushroom, woody, spice yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Velvety,Dampit Malang (Medium / Anaerobic): 450g (45%) | Toraja Sapan (Medium / WetHulled): 550g (55%) | total: 1000g,Best for Moka Pot
S-SUM-075,Summer,Seasonal Blend,Dawn Summer Ridge,Wanoja Kamojang Dark Natural 40% | Java Manglayang Medium WetHulled 60%,Medium,"Segar dan penuh semangat, blend tropical ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Manglayang. Diproses dengan metode WetHulled & Natural, menghadirkan profil rasa tar, spice, dark berry yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Wanoja Kamojang (Dark / Natural): 400g (40%) | Java Manglayang (Medium / WetHulled): 600g (60%) | total: 1000g,Versatile for Espresso & Filter
S-SUM-076,Summer,Seasonal Blend,Summit Summer Series,Bukit Barisan Dark Natural 40% | Toraja Sapan Light Natural 35% | Lampung Robusta Premium Light Honey 25%,Medium,"Ringan namun penuh kepribadian, blend vibrant ini memadukan biji-biji terbaik dari Bukit Barisan dan Toraja Sapan dan Lampung Robusta Premium. Diproses dengan metode Honey & Natural, menghadirkan profil rasa blueberry, floral, apricot yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Bukit Barisan (Dark / Natural): 400g (40%) | Toraja Sapan (Light / Natural): 350g (35%) | Lampung Robusta Premium (Light / Honey): 250g (25%) | total: 1000g,Versatile for Espresso & Filter
S-SUM-077,Summer,Seasonal Blend,Nusantara Summer Series,Aceh Gayo Medium Honey 65% | Sidikalang Dark Honey 35%,Medium,"Cerah seperti pagi musim panas, blend fruity ini memadukan biji-biji terbaik dari Aceh Gayo dan Sidikalang. Diproses dengan metode Honey, menghadirkan profil rasa honey, toffee, dark sugar yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Medium Body,Aceh Gayo (Medium / Honey): 650g (65%) | Sidikalang (Dark / Honey): 350g (35%) | total: 1000g,Versatile for Espresso & Filter
S-SUM-078,Summer,Seasonal Blend,Primal Summer Journey,Bali Kintamani Light SemiWashed 55% | Mandheling Medium Wine 30% | Papua Dogiyai Medium Wine 15%,Light,"Ringan namun penuh kepribadian, blend fruity ini memadukan biji-biji terbaik dari Bali Kintamani dan Mandheling dan Papua Dogiyai. Diproses dengan metode SemiWashed & Wine, menghadirkan profil rasa espresso, port wine, roasted grape yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Tea-like,Bali Kintamani (Light / SemiWashed): 550g (55%) | Mandheling (Medium / Wine): 300g (30%) | Papua Dogiyai (Medium / Wine): 150g (15%) | total: 1000g,Best for V60
S-SUM-079,Summer,Seasonal Blend,Timeless Summer Edition,Java Puntang Dark Honey 60% | Sidikalang Light SemiWashed 25% | Flores Bajawa Medium WetHulled 15%,Medium,"Segar dan penuh semangat, blend refreshing ini memadukan biji-biji terbaik dari Java Puntang dan Sidikalang dan Flores Bajawa. Diproses dengan metode SemiWashed & Honey, menghadirkan profil rasa leather, burnt caramel, mandarin yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Medium Body,Java Puntang (Dark / Honey): 600g (60%) | Sidikalang (Light / SemiWashed): 250g (25%) | Flores Bajawa (Medium / WetHulled): 150g (15%) | total: 1000g,Versatile for Espresso & Filter
S-SUM-080,Summer,Seasonal Blend,Celestial Summer Select,Dampit Malang Dark SemiWashed 55% | Bali Ulian Light Anaerobic 45%,Medium,"Segar dan penuh semangat, blend vibrant ini memadukan biji-biji terbaik dari Dampit Malang dan Bali Ulian. Diproses dengan metode SemiWashed & Anaerobic, menghadirkan profil rasa intense spice, roasted grain, rum raisin yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Dampit Malang (Dark / SemiWashed): 550g (55%) | Bali Ulian (Light / Anaerobic): 450g (45%) | total: 1000g,Cocok untuk French Press & Espresso
S-SUM-081,Summer,Seasonal Blend,Dawn Summer Estate,Papua Wamena Dark Washed 45% | Semeru Dark Natural 35% | Gunung Halu Light Honey 20%,Dark,"Ringan namun penuh kepribadian, blend lively ini memadukan biji-biji terbaik dari Papua Wamena dan Semeru dan Gunung Halu. Diproses dengan metode Washed & Honey, menghadirkan profil rasa apricot, pear, bitter chocolate yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Heavy Body,Papua Wamena (Dark / Washed): 450g (45%) | Semeru (Dark / Natural): 350g (35%) | Gunung Halu (Light / Honey): 200g (20%) | total: 1000g,Best for Espresso
S-SUM-082,Summer,Seasonal Blend,Summit Summer Edition,Mandheling Light WetHulled 70% | Gunung Halu Light Anaerobic 30%,Light,"Karakter buah tropis yang menawan, blend fruity ini memadukan biji-biji terbaik dari Mandheling dan Gunung Halu. Diproses dengan metode WetHulled & Anaerobic, menghadirkan profil rasa lime, lychee, tobacco leaf yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Silky,Mandheling (Light / WetHulled): 700g (70%) | Gunung Halu (Light / Anaerobic): 300g (30%) | total: 1000g,Best for V60
S-SUM-083,Summer,Seasonal Blend,Sacred Summer Story,Lampung Robusta Premium Light Anaerobic 65% | Java Puntang Medium Anaerobic 35%,Light,"Segar dan penuh semangat, blend vibrant ini memadukan biji-biji terbaik dari Lampung Robusta Premium dan Java Puntang. Diproses dengan metode Anaerobic, menghadirkan profil rasa raspberry, cola, tamarind yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Light Body,Lampung Robusta Premium (Light / Anaerobic): 650g (65%) | Java Puntang (Medium / Anaerobic): 350g (35%) | total: 1000g,Cocok untuk AeroPress
S-SUM-084,Summer,Seasonal Blend,Ritual Summer Story,Sembalun Rinjani Medium Wine 55% | Flores Manggarai Dark WetHulled 30% | Java Garut Light SemiWashed 15%,Medium,"Segar dan penuh semangat, blend refreshing ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Flores Manggarai dan Java Garut. Diproses dengan metode SemiWashed & Wine, menghadirkan profil rasa bark, oolong tea, mandarin yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Round,Sembalun Rinjani (Medium / Wine): 550g (55%) | Flores Manggarai (Dark / WetHulled): 300g (30%) | Java Garut (Light / SemiWashed): 150g (15%) | total: 1000g,Best for Moka Pot
S-SUM-085,Summer,Seasonal Blend,Velvet Summer Valley,Papua Dogiyai Medium WetHulled 60% | Mandheling Dark WetHulled 40%,Medium,"Ringan namun penuh kepribadian, blend refreshing ini memadukan biji-biji terbaik dari Papua Dogiyai dan Mandheling. Diproses dengan metode WetHulled, menghadirkan profil rasa peat, dark tobacco, clove yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Round,Papua Dogiyai (Medium / WetHulled): 600g (60%) | Mandheling (Dark / WetHulled): 400g (40%) | total: 1000g,Versatile for Espresso & Filter
S-SUM-086,Summer,Seasonal Blend,Amber Summer Collection,Java Sindoro Dark Natural 55% | Bali Ulian Dark Washed 45%,Dark,"Ringan namun penuh kepribadian, blend bright ini memadukan biji-biji terbaik dari Java Sindoro dan Bali Ulian. Diproses dengan metode Washed & Natural, menghadirkan profil rasa dark berry, smoky caramel, bitter chocolate yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Bold,Java Sindoro (Dark / Natural): 550g (55%) | Bali Ulian (Dark / Washed): 450g (45%) | total: 1000g,Best for Espresso
S-SUM-087,Summer,Seasonal Blend,Whisper Summer Reserve,Java Manglayang Light WetHulled 40% | Sembalun Rinjani Dark Washed 60%,Medium,"Ringan namun penuh kepribadian, blend lively ini memadukan biji-biji terbaik dari Java Manglayang dan Sembalun Rinjani. Diproses dengan metode Washed & WetHulled, menghadirkan profil rasa green pepper, smoky caramel, dark roast yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Balanced,Java Manglayang (Light / WetHulled): 400g (40%) | Sembalun Rinjani (Dark / Washed): 600g (60%) | total: 1000g,Cocok untuk French Press & Espresso
S-SUM-088,Summer,Seasonal Blend,Sacred Summer Spring,Gunung Halu Medium Honey 45% | Java Sindoro Dark Anaerobic 35% | Toraja Sapan Dark Wine 20%,Dark,"Ringan namun penuh kepribadian, blend vibrant ini memadukan biji-biji terbaik dari Gunung Halu dan Java Sindoro dan Toraja Sapan. Diproses dengan metode Honey & Wine, menghadirkan profil rasa smoke, fermented cocoa, black cherry yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Thick,Gunung Halu (Medium / Honey): 450g (45%) | Java Sindoro (Dark / Anaerobic): 350g (35%) | Toraja Sapan (Dark / Wine): 200g (20%) | total: 1000g,Cocok untuk Cold Brew
S-SUM-089,Summer,Seasonal Blend,Harvest Summer Signature,Lampung Robusta Premium Light Wine 60% | Java Preanger Light Anaerobic 25% | Semeru Medium SemiWashed 15%,Light,"Cerah seperti pagi musim panas, blend fruity ini memadukan biji-biji terbaik dari Lampung Robusta Premium dan Java Preanger dan Semeru. Diproses dengan metode SemiWashed & Wine, menghadirkan profil rasa milk caramel, lychee, cola yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Tea-like,Lampung Robusta Premium (Light / Wine): 600g (60%) | Java Preanger (Light / Anaerobic): 250g (25%) | Semeru (Medium / SemiWashed): 150g (15%) | total: 1000g,Best for V60
S-SUM-090,Summer,Seasonal Blend,Highland Summer Peak,Bengkulu Light Wine 45% | Arjuno Light Washed 55%,Light,"Segar dan penuh semangat, blend vibrant ini memadukan biji-biji terbaik dari Bengkulu dan Arjuno. Diproses dengan metode Washed & Wine, menghadirkan profil rasa grape must, lemon zest, jasmine yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Light Body,Bengkulu (Light / Wine): 450g (45%) | Arjuno (Light / Washed): 550g (55%) | total: 1000g,Pour Over Recommended
S-SUM-091,Summer,Seasonal Blend,Primal Summer Chapter,Bali Ulian Dark Natural 50% | Temanggung Medium Honey 30% | Java Puntang Medium Honey 20%,Dark,"Cerah seperti pagi musim panas, blend lively ini memadukan biji-biji terbaik dari Bali Ulian dan Temanggung dan Java Puntang. Diproses dengan metode Honey & Natural, menghadirkan profil rasa tar, dark berry, macadamia yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Heavy Body,Bali Ulian (Dark / Natural): 500g (50%) | Temanggung (Medium / Honey): 300g (30%) | Java Puntang (Medium / Honey): 200g (20%) | total: 1000g,Best for Espresso
S-SUM-092,Summer,Seasonal Blend,Amber Summer Valley,Lintong Onan Light Honey 70% | Sembalun Rinjani Medium Honey 30%,Light,"Segar dan penuh semangat, blend bright ini memadukan biji-biji terbaik dari Lintong Onan dan Sembalun Rinjani. Diproses dengan metode Honey, menghadirkan profil rasa macadamia, dried apricot, honey yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Tea-like,Lintong Onan (Light / Honey): 700g (70%) | Sembalun Rinjani (Medium / Honey): 300g (30%) | total: 1000g,Pour Over Recommended
S-SUM-093,Summer,Seasonal Blend,Heritage Summer Blend,Toraja Sapan Medium WetHulled 60% | Java Manglayang Medium Wine 25% | Mandheling Light WetHulled 15%,Medium,"Karakter buah tropis yang menawan, blend vibrant ini memadukan biji-biji terbaik dari Toraja Sapan dan Java Manglayang dan Mandheling. Diproses dengan metode Wine & WetHulled, menghadirkan profil rasa leather, espresso, tobacco yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Balanced,Toraja Sapan (Medium / WetHulled): 600g (60%) | Java Manglayang (Medium / Wine): 250g (25%) | Mandheling (Light / WetHulled): 150g (15%) | total: 1000g,Cocok untuk French Press & Espresso
S-SUM-094,Summer,Seasonal Blend,Sunrise Summer Crest,Bali Kintamani Light SemiWashed 70% | Toraja Sapan Dark WetHulled 30%,Light,"Ringan namun penuh kepribadian, blend tropical ini memadukan biji-biji terbaik dari Bali Kintamani dan Toraja Sapan. Diproses dengan metode SemiWashed & WetHulled, menghadirkan profil rasa dark tobacco, light caramel, mandarin yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Silky,Bali Kintamani (Light / SemiWashed): 700g (70%) | Toraja Sapan (Dark / WetHulled): 300g (30%) | total: 1000g,Cocok untuk AeroPress
